observation_id,date,year,latitude,longitude,accuracy_m,reliability,record_type,source_collection,province,grid_id
http://tun.fi/JX.1749805#56,2024-07-21,2024,60.20022,24.822834,1.0,NEUTRAL,Photographed,The Atlas of Finnish Fungi,Uusimaa (U),ETRS-TM35FIN-10km-N6670000-E370000
http://tun.fi/HR.3211/230932524-U,2024-07-22,2024,62.22108,25.84259,10.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Pohjois-Häme (PH),ETRS-TM35FIN-10km-N6890000-E430000
http://tun.fi/HR.3211/230968912-U,2024-07-22,2024,63.29941,27.38018,10.0,NEUTRAL,Photographed,iNaturalist Suomi Finland,Pohjois-Savo (PS),ETRS-TM35FIN-10km-N7010000-E510000
http://tun.fi/HR.3211/230969147-U,2024-07-22,2024,63.29936,27.38133,50.0,NEUTRAL,Photographed,iNaturalist Suomi Finland,Pohjois-Savo (PS),ETRS-TM35FIN-10km-N7010000-E510000
http://tun.fi/HR.3211/232451736-U,2024-07-29,2024,60.25484,24.44362,10.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Uusimaa (U),ETRS-TM35FIN-10km-N6680000-E350000
http://tun.fi/JX.1755566#6,2024-08-04 [19:38-20:34],2024,60.333922,23.215962,1.0,NEUTRAL,Photographed,The Atlas of Finnish Fungi,Varsinais-Suomi (V),ETRS-TM35FIN-10km-N6690000-E290000
http://tun.fi/HR.3211/234132832-U,2024-08-06,2024,61.59788,27.12793,10.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Etelä-Savo (ES),ETRS-TM35FIN-10km-N6820000-E500000
http://tun.fi/HR.3211/234336621-U,2024-08-07,2024,61.61235,27.12777,10.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Etelä-Savo (ES),ETRS-TM35FIN-10km-N6830000-E500000
http://tun.fi/JX.1757464#9,2024-08-10 [8:42-9:57],2024,61.459012,25.761002,1.0,NEUTRAL,Photographed,The Atlas of Finnish Fungi,Etelä-Häme (EH),ETRS-TM35FIN-10km-N6810000-E430000
http://tun.fi/HR.3211/235067320-U,2024-08-11,2024,60.24311,25.21757,10.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Uusimaa (U),ETRS-TM35FIN-10km-N6670000-E400000
http://tun.fi/JX.1758340#3,2024-08-12,2024,61.785615,29.30877,1.0,NEUTRAL,Photographed,The Atlas of Finnish Fungi,Etelä-Savo (ES),ETRS-TM35FIN-10km-N6850000-E620000
http://tun.fi/JX.1759821#60,2024-08-12,2024,62.970683,21.504697,1.0,NEUTRAL,Photographed,The Atlas of Finnish Fungi,Etelä-Pohjanmaa (EP),ETRS-TM35FIN-10km-N6990000-E220000
http://tun.fi/JX.1777495#5,2024-08-12,2024,60.699692,25.034037,1.0,NEUTRAL,Photographed,The Atlas of Finnish Fungi,Etelä-Häme (EH),ETRS-TM35FIN-10km-N6730000-E390000
http://tun.fi/HR.3211/235688020-U,2024-08-14,2024,60.92811,23.8208,48.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Etelä-Häme (EH),ETRS-TM35FIN-10km-N6750000-E320000
http://tun.fi/HR.3211/235718191-U,2024-08-14,2024,60.06488,24.28711,10.0,NEUTRAL,Photographed,iNaturalist Suomi Finland,Uusimaa (U),ETRS-TM35FIN-10km-N6660000-E340000
http://tun.fi/HR.3211/235897888-U,2024-08-15,2024,60.72995,23.57014,10.0,NEUTRAL,Photographed,iNaturalist Suomi Finland,Etelä-Häme (EH),ETRS-TM35FIN-10km-N6730000-E310000
http://tun.fi/HR.3211/235933138-U,2024-08-15,2024,61.50766,23.80544,10.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Etelä-Häme (EH),ETRS-TM35FIN-10km-N6820000-E330000
http://tun.fi/HR.3211/236249447-U,2024-08-17,2024,60.64543,25.07486,11.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Uusimaa (U),ETRS-TM35FIN-10km-N6720000-E390000
http://tun.fi/HR.3211/236254378-U,2024-08-17,2024,60.42169,25.07347,20.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Uusimaa (U),ETRS-TM35FIN-10km-N6690000-E390000
http://tun.fi/HR.3211/236299338-U,2024-08-17,2024,61.2892,25.58741,10.0,NEUTRAL,Photographed,iNaturalist Suomi Finland,Etelä-Häme (EH),ETRS-TM35FIN-10km-N6790000-E420000
http://tun.fi/JX.1759721#3,2024-08-17,2024,60.354361,25.032381,1.0,NEUTRAL,Photographed,The Atlas of Finnish Fungi,Uusimaa (U),ETRS-TM35FIN-10km-N6690000-E390000
http://tun.fi/JX.1786136#3,2024-08-17,2024,62.318565,26.354444,1.0,NEUTRAL,Photographed,The Atlas of Finnish Fungi,Pohjois-Häme (PH),ETRS-TM35FIN-10km-N6900000-E460000
http://tun.fi/HR.3211/236457348-U,2024-08-18,2024,61.64988,25.00511,10.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Etelä-Häme (EH),ETRS-TM35FIN-10km-N6830000-E390000
http://tun.fi/HR.3211/236460176-U,2024-08-18,2024,61.05872,21.38308,10.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Varsinais-Suomi (V),ETRS-TM35FIN-10km-N6780000-E190000
http://tun.fi/HR.3211/236581400-U,2024-08-18,2024,60.70178,25.2066,10.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Uusimaa (U),ETRS-TM35FIN-10km-N6730000-E400000
http://tun.fi/JX.1760014#3,2024-08-18,2024,62.255271,25.707033,1.0,NEUTRAL,Observation,"Notebook, general observations",Pohjois-Häme (PH),ETRS-TM35FIN-10km-N6900000-E430000
http://tun.fi/JX.2434924#3,2024-08-18,2024,60.305561,25.20518,1.0,NEUTRAL,Observation,"Notebook, general observations",Uusimaa (U),ETRS-TM35FIN-10km-N6680000-E400000
http://tun.fi/JX.1761180#9,2024-08-18 [14:41-14:47],2024,61.497026,25.666124,1.0,NEUTRAL,Observation,Noteworthy macrofungi - complete lists,Etelä-Häme (EH),ETRS-TM35FIN-10km-N6810000-E420000
http://tun.fi/HR.3211/236682327-U,2024-08-19,2024,60.70695,26.6436,10.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Uusimaa (U),ETRS-TM35FIN-10km-N6730000-E480000
http://tun.fi/HR.3211/236700268-U,2024-08-19,2024,60.4784,21.94568,10.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Varsinais-Suomi (V),ETRS-TM35FIN-10km-N6710000-E220000
http://tun.fi/HR.3211/236870254-U,2024-08-20,2024,62.38292,27.66324,10.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Pohjois-Savo (PS),ETRS-TM35FIN-10km-N6910000-E530000
http://tun.fi/JX.1760609#6,2024-08-20 [14:31-15:57],2024,60.383475,23.166405,1.0,NEUTRAL,Photographed,The Atlas of Finnish Fungi,Varsinais-Suomi (V),ETRS-TM35FIN-10km-N6700000-E280000
