gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
3441163706,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://tun.fi/JX.1034439#34,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Boletus edulis,,SPECIES,Boletus edulis Bull.,Boletus edulis Bull.:Fr.,,FI,Julkujärvi,Pirkanmaa,PRESENT,,04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1,61.561141,23.510213,1000.0,,,,,,2019-08-31T00:00Z,31,8,2019,MCH9,MCH9,MACHINE_OBSERVATION,,HR.2129,http://tun.fi/JX.1034439,,,,CC_BY_4_0,,Anne Hirvonen,,,2026-09-09T03:54:36.428Z,StillImage;StillImage,
3441196146,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://tun.fi/JX.1035016#4,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Boletus edulis,,SPECIES,Boletus edulis Bull.,Boletus edulis Bull.:Fr.,,FI,"Lohtaja, Ulko-Kraaseli",Keski-Pohjanmaa,PRESENT,1,04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1,64.092905,23.503537,1000.0,,,,,,2019-08-31T00:00Z,31,8,2019,MCH9,MCH9,MACHINE_OBSERVATION,,HR.2129,http://tun.fi/JX.1035016,,,,CC_BY_4_0,,Esa Borén,,,2026-09-09T03:54:53.757Z,StillImage,
3441207707,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://tun.fi/JX.1034393#31,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Boletus edulis,,SPECIES,Boletus edulis Bull.,Boletus edulis Bull.:Fr.,,FI,Kylmäojan ls-alue,Uusimaa,PRESENT,,04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1,60.33919,25.03473,1000.0,,,,,,2019-08-31T00:00Z,31,8,2019,MCH9,MCH9,MACHINE_OBSERVATION,,HR.2129,http://tun.fi/JX.1034393,,,,CC_BY_4_0,,Mari Kajasvirta,,,2026-09-09T03:54:58.225Z,,
3441156240,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://tun.fi/JX.1034738#10,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Boletus edulis,,SPECIES,Boletus edulis Bull.,Boletus edulis Bull.:Fr.,,FI,Espoon keskuspuisto,Uusimaa,PRESENT,,04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1,60.187431,24.703209,1000.0,,,,,,2019-09-01T00:00Z,1,9,2019,MCH9,MCH9,MACHINE_OBSERVATION,,HR.2129,http://tun.fi/JX.1034738,,,,CC_BY_4_0,,Mari Kajasvirta,,,2026-09-09T03:54:32.806Z,,
3441180222,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://tun.fi/JX.1034794#4,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Boletus edulis,,SPECIES,Boletus edulis Bull.,Boletus edulis Bull.:Fr.,,FI,Vennivaara,Lappi,PRESENT,1,04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1,66.52998,25.56483,1.0,,,,,,2019-09-01T00:00Z,1,9,2019,MCH9,MCH9,MACHINE_OBSERVATION,,HR.2129,http://tun.fi/JX.1034794,,,,CC_BY_4_0,,Seppo Huhmarniemi,,,2026-09-09T03:54:43.849Z,StillImage;StillImage,
3441192064,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://tun.fi/JX.1034613#4,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Boletus edulis,,SPECIES,Boletus edulis Bull.,Boletus edulis Bull.:Fr.,,FI,"Humppila, Alhonkulma",Kanta-Häme,PRESENT,,04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1,60.928569,23.452798,1.0,,,,,,2019-09-01T00:00Z,1,9,2019,MCH9,MCH9,MACHINE_OBSERVATION,,HR.2129,http://tun.fi/JX.1034613,,,,CC_BY_4_0,,Tuuli Laine,,,2026-09-09T03:54:49.108Z,StillImage;StillImage;StillImage;StillImage,
4524571311,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://tun.fi/JX.1677422#5,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Boletus edulis,,SPECIES,Boletus edulis Bull.,Boletus edulis Bull.:Fr.,,FI,,Pirkanmaa,PRESENT,,04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1,61.661651,23.473176,1000.0,,,,,,2019-09-01T00:00Z,1,9,2019,MCH9,MCH9,MACHINE_OBSERVATION,,HR.2129,http://tun.fi/JX.1677422,,,,CC_BY_4_0,,Anne-Mari Enne;Piia Lamminsivu,,,2026-09-09T03:55:33.231Z,,
3441199700,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://tun.fi/JX.1035148#17,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Boletus edulis,,SPECIES,Boletus edulis Bull.,Boletus edulis Bull.:Fr.,,FI,Nokela,Pohjois-Pohjanmaa,PRESENT,4,04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1,64.996041,25.483941,1.0,,,,,,2019-09-03T00:00Z,3,9,2019,MCH9,MCH9,MACHINE_OBSERVATION,,HR.2129,http://tun.fi/JX.1035148,,,,CC_BY_4_0,,Esa Borén,,,2026-09-09T03:54:52.695Z,StillImage,
3441158740,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://tun.fi/JX.1035621#4,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Boletus edulis,,SPECIES,Boletus edulis Bull.,Boletus edulis Bull.:Fr.,,FI,Byabäcken,Uusimaa,PRESENT,,04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1,60.344817,25.215663,1.0,,,,,,2019-09-05T00:00Z,5,9,2019,MCH9,MCH9,MACHINE_OBSERVATION,,HR.2129,http://tun.fi/JX.1035621,,,,CC_BY_4_0,,Allar Antson,,,2026-09-09T03:54:33.823Z,StillImage,
3441208009,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://tun.fi/JX.1037298#10,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Boletus edulis,,SPECIES,Boletus edulis Bull.,Boletus edulis Bull.:Fr.,,FI,Keravanjärvi,Uusimaa,PRESENT,10,04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1,60.625864,25.095259,1.0,,,,,,2019-09-06T00:00Z,6,9,2019,MCH9,MCH9,MACHINE_OBSERVATION,,HR.2129,http://tun.fi/JX.1037298,,,,CC_BY_4_0,,Anna-Mari Korpela,,,2026-09-09T03:54:58.322Z,StillImage,
