occurrenceID	eventID	parentEventID	verbatimIdentification	recordedBy	identifiedBy	taxonConceptID	scientificName	scientificNameAuthorship	taxonRank	kingdom	class	order	family	informalTaxonGroup	vernacularName	vernacularNameSwedish	redListStatusFinland	lajiturvaStatus	regulatoryStatuses	taxonPreferredHabitat	habitat	isSensitiveTaxon	dataGeneralizations	informationWithheld	datasetCurationLevel	identificationVerificationStatus	qualityControl	datasetID	datasetName	source	sourceName	originatingSource	eventDate	countryCode	biogeographicalProvince	county	verbatimLocality	locationID	locationType	locationStatus	basisOfRecord	lifeStage	sex	femaleIndividualCount	maleIndividualCount	organismQuantity	organismQuantityType	individualCount	pairCount	isMigrating	isBreedingSite	invasiveTaxonManagementAction	dnaSequence	atlasCode	atlasClass	dynamicProperties	georeferenceSources	isStateLand	coordinateAccuracy	footprintWKT	decimalLatitude	decimalLongitude	gridCellYKJ	occurrenceRemarks	eventRemarks	otherCatalogNumbers	availableDate	license	qualityIssues	sample_group
http://id.herb.oulu.fi/MY.12194386	http://id.herb.oulu.fi/MY.12194385	http://id.luomus.fi/GAJ.14370	Boletus edulis Bull.:Fr.	Romppanen, Taina; Pisilä, Aune		http://tun.fi/MX.72563	Boletus edulis	Bull.:Fr.	species	Fungi	Agaricomycetes	Boletales	Boletaceae	Sienet ja jäkälät; Suursienet; Tatit / Fungi and lichens; Macrofungi; Boletoid fungi	herkkutatti	stensopp	LC 2019			Mk – kangasmetsät / Mk – heath forests		FALSE	NONE		PROFESSIONAL	NEUTRAL		http://tun.fi/HR.1367	Oulun yliopiston kasvimuseon sienikokoelma / Fungal collection of the Botanical Museum, University of Oulu (OULU)	http://tun.fi/KE.3	Kotka Collection Management System		2015-07-28/2015-07-28	FI	Oulun Pohjanmaa (OP)	Oulu	Finland, OP, Oulu, Haukipudas, E part				PRESERVED_SPECIMEN							1								createdDate: 2022-08-05 | modifiedDate: 2022-08-05 | Elinympäristön kuvaus: Aged conifer forest | Habitat description: Aged conifer forest | Korkeus metreinä: 18 | Alt in meters: 18	REPORTED_VALUE		100	POLYGON ((25.555858 65.059655, 25.555809 65.060552, 25.557933 65.060572, 25.557982 65.059676, 25.555858 65.059655))	65.060114	25.556896	721:343			http://tun.fi/GX.16075	2022-08-05	Creative Commons Attribution		boletus_edulis
http://id.herb.oulu.fi/MY.6448930	http://id.herb.oulu.fi/MY.6448929	http://id.luomus.fi/GAJ.8231	Boletus edulis	Romppanen, Taina		http://tun.fi/MX.72563	Boletus edulis	Bull.:Fr.	species	Fungi	Agaricomycetes	Boletales	Boletaceae	Sienet ja jäkälät; Suursienet; Tatit / Fungi and lichens; Macrofungi; Boletoid fungi	herkkutatti	stensopp	LC 2019			Mk – kangasmetsät / Mk – heath forests	Mktv	FALSE	NONE		PROFESSIONAL	NEUTRAL		http://tun.fi/HR.1367	Oulun yliopiston kasvimuseon sienikokoelma / Fungal collection of the Botanical Museum, University of Oulu (OULU)	http://tun.fi/KE.3	Kotka Collection Management System		2015-08-14/2015-08-14	FI	Oulun Pohjanmaa (OP)	Oulu	Finland, OP, Oulu, Haukipudas, E part				PRESERVED_SPECIMEN							1								createdDate: 2019-05-21 | modifiedDate: 2019-05-21 | Korkeus metreinä: 18 | Alt in meters: 18 | Elinympäristön kuvaus: Aged conifer forest | Habitat description: Aged conifer forest	REPORTED_VALUE		100	POLYGON ((25.555858 65.059655, 25.555809 65.060552, 25.557933 65.060572, 25.557982 65.059676, 25.555858 65.059655))	65.060114	25.556896	721:343		B3	http://tun.fi/GX.8095	2019-05-21	Creative Commons Attribution		boletus_edulis
http://id.luomus.fi/MY.3276866	http://id.luomus.fi/MY.3276865	http://id.luomus.fi/HA.H6017019	Boletus edulis	Salo, Ulla; Salo, Pertti		http://tun.fi/MX.72563	Boletus edulis	Bull.:Fr.	species	Fungi	Agaricomycetes	Boletales	Boletaceae	Sienet ja jäkälät; Suursienet; Tatit / Fungi and lichens; Macrofungi; Boletoid fungi	herkkutatti	stensopp	LC 2019			Mk – kangasmetsät / Mk – heath forests		FALSE	NONE		PROFESSIONAL	NEUTRAL		http://tun.fi/HR.137	Agaricales Fennoscandiae orientalis	http://tun.fi/KE.3	Kotka Collection Management System		2010-08-25/2010-08-25	FI	Etelä-Häme (EH)	Hämeenlinna	Finland, EH, Hämeenlinna				PRESERVED_SPECIMEN							1								createdDate: 2010-09-29 | modifiedDate: 2017-02-01 | Elinympäristön kuvaus: On lawn, under Picea abies and Betula pubescens. | Habitat description: On lawn, under Picea abies and Betula pubescens.	REPORTED_VALUE		100	POLYGON ((24.794569 61.145129, 24.794507 61.146025, 24.796362 61.146056, 24.796425 61.145159, 24.794569 61.145129))	61.145592	24.795466	678:338			http://tun.fi/GX.2530; H6017019	2017-08-29	Creative Commons Attribution		boletus_edulis
http://id.luomus.fi/MY.12445058	http://id.luomus.fi/MY.12445057	http://id.luomus.fi/HA.H6083232	Boletus edulis Bull.:Fr.	Salo, Pertti		http://tun.fi/MX.72563	Boletus edulis	Bull.:Fr.	species	Fungi	Agaricomycetes	Boletales	Boletaceae	Sienet ja jäkälät; Suursienet; Tatit / Fungi and lichens; Macrofungi; Boletoid fungi	herkkutatti	stensopp	LC 2019			Mk – kangasmetsät / Mk – heath forests		FALSE	NONE		PROFESSIONAL	NEUTRAL		http://tun.fi/HR.137	Agaricales Fennoscandiae orientalis	http://tun.fi/KE.3	Kotka Collection Management System		2020-06-29/2020-06-29	FI	Uusimaa (U)	Porvoo	Finland, U, Porvoo, Kråkö, Kråkömalmen				PRESERVED_SPECIMEN							1								createdDate: 2022-11-01 | modifiedDate: 2023-04-15 | Elinympäristön kuvaus: Margin of a field, under Quercus robur and Tilia cordata | Habitat description: Margin of a field, under Quercus robur and Tilia cordata	REPORTED_VALUE		1	POINT (25.683784 60.343202)	60.343202	25.683784	669:342			H6083232	2022-11-01	Creative Commons Attribution		boletus_edulis
http://id.luomus.fi/MY.10618752	http://id.luomus.fi/MY.10618751	http://id.luomus.fi/HA.H6098330	Boletus edulis Bull.:Fr.	Väre, Henry		http://tun.fi/MX.72563	Boletus edulis	Bull.:Fr.	species	Fungi	Agaricomycetes	Boletales	Boletaceae	Sienet ja jäkälät; Suursienet; Tatit / Fungi and lichens; Macrofungi; Boletoid fungi	herkkutatti	stensopp	LC 2019			Mk – kangasmetsät / Mk – heath forests		FALSE	NONE		PROFESSIONAL	NEUTRAL		http://tun.fi/HR.137	Agaricales Fennoscandiae orientalis	http://tun.fi/KE.3	Kotka Collection Management System		2020-08-24/2020-08-24	FI	Uusimaa (U)	Sipoo	Finland, U, Sipoo, Box				PRESERVED_SPECIMEN							1								createdDate: 2021-06-15 | modifiedDate: 2021-06-15 | Korkeus metreinä: 27 | Alt in meters: 27 | Elinympäristön kuvaus: On forest with Betula, Populus and Pinus | Habitat description: On forest with Betula, Populus and Pinus	REPORTED_VALUE		100	POLYGON ((25.420147 60.293039, 25.420103 60.293936, 25.421911 60.293958, 25.421954 60.293061, 25.420147 60.293039))	60.293498	25.421029	668:341			H6098330	2021-06-15	Creative Commons Attribution		boletus_edulis
http://id.luomus.fi/MY.11928627	http://id.luomus.fi/MY.11928626	http://id.luomus.fi/HA.H6112752	Boletus edulis Bull.:Fr.	Väre, Henry		http://tun.fi/MX.72563	Boletus edulis	Bull.:Fr.	species	Fungi	Agaricomycetes	Boletales	Boletaceae	Sienet ja jäkälät; Suursienet; Tatit / Fungi and lichens; Macrofungi; Boletoid fungi	herkkutatti	stensopp	LC 2019			Mk – kangasmetsät / Mk – heath forests		FALSE	NONE		PROFESSIONAL	NEUTRAL		http://tun.fi/HR.137	Agaricales Fennoscandiae orientalis	http://tun.fi/KE.3	Kotka Collection Management System		2021-09-02/2021-09-02	FI	Uusimaa (U)	Sipoo	Finland, U, Sipoo, Box				PRESERVED_SPECIMEN							1								createdDate: 2022-03-22 | modifiedDate: 2022-03-22 | Runsaus maastossa: Scattered | Abundance in the field: Scattered | Korkeus metreinä: 20 | Alt in meters: 20 | Elinympäristön kuvaus: On lawn close to Betula pubescens, Picea abies, Pinus sylvestris | Habitat description: On lawn close to Betula pubescens, Picea abies, Pinus sylvestris	REPORTED_VALUE		100	POLYGON ((25.418339 60.293018, 25.418296 60.293915, 25.420103 60.293936, 25.420147 60.293039, 25.418339 60.293018))	60.293477	25.419222	668:341			H6112752	2022-03-22	Creative Commons Attribution		boletus_edulis
http://id.luomus.fi/MY.12447014	http://id.luomus.fi/MY.12447013	http://id.luomus.fi/HA.H6117389	Boletus edulis Bull.:Fr.	Romppanen, Taina		http://tun.fi/MX.72563	Boletus edulis	Bull.:Fr.	species	Fungi	Agaricomycetes	Boletales	Boletaceae	Sienet ja jäkälät; Suursienet; Tatit / Fungi and lichens; Macrofungi; Boletoid fungi	herkkutatti	stensopp	LC 2019			Mk – kangasmetsät / Mk – heath forests		FALSE	NONE		PROFESSIONAL	NEUTRAL		http://tun.fi/HR.137	Agaricales Fennoscandiae orientalis	http://tun.fi/KE.3	Kotka Collection Management System		2015-08-14/2015-08-14	FI	Oulun Pohjanmaa (OP)	Oulu	Finland, OP, Oulu, Haukipudas				PRESERVED_SPECIMEN							1								createdDate: 2022-11-01 | modifiedDate: 2022-11-01 | Elinympäristön kuvaus: Aced conifer forest with Picea abies, Pinus sylvestris, Betula pubescens | Habitat description: Aced conifer forest with Picea abies, Pinus sylvestris, Betula pubescens	REPORTED_VALUE		72	POINT (25.556666 65.06)	65.06	25.556666	721:343			GAJ.8231	2022-11-01	Creative Commons Attribution		boletus_edulis
http://id.luomus.fi/MY.17048429	http://id.luomus.fi/MY.17048428	http://id.luomus.fi/HA.H6135468	Boletus edulis Bull.:Fr.	Väre, Henry		http://tun.fi/MX.72563	Boletus edulis	Bull.:Fr.	species	Fungi	Agaricomycetes	Boletales	Boletaceae	Sienet ja jäkälät; Suursienet; Tatit / Fungi and lichens; Macrofungi; Boletoid fungi	herkkutatti	stensopp	LC 2019			Mk – kangasmetsät / Mk – heath forests		FALSE	NONE		PROFESSIONAL	NEUTRAL		http://tun.fi/HR.137	Agaricales Fennoscandiae orientalis	http://tun.fi/KE.3	Kotka Collection Management System		2023-09-04/2023-09-04	FI	Etelä-Häme (EH)	Hämeenlinna	Finland, EH, Hämeenlinna				PRESERVED_SPECIMEN							1								createdDate: 2024-09-11 | modifiedDate: 2024-09-11 | Korkeus metreinä: 125 | Alt in meters: 125 | Elinympäristön kuvaus: On humus rich ground. Under tall Picea abies. | Habitat description: On humus rich ground. Under tall Picea abies.	REPORTED_VALUE		100	POLYGON ((24.132617 61.008785, 24.132536 61.009681, 24.134383 61.009721, 24.134463 61.008824, 24.132617 61.008785))	61.009253	24.133501	677:334			H6135468	2024-09-11	Creative Commons Attribution		boletus_edulis
http://id.luomus.fi/MY.17048473	http://id.luomus.fi/MY.17048472	http://id.luomus.fi/HA.H6135479	Boletus edulis Bull.:Fr.	Väre, Henry		http://tun.fi/MX.72563	Boletus edulis	Bull.:Fr.	species	Fungi	Agaricomycetes	Boletales	Boletaceae	Sienet ja jäkälät; Suursienet; Tatit / Fungi and lichens; Macrofungi; Boletoid fungi	herkkutatti	stensopp	LC 2019			Mk – kangasmetsät / Mk – heath forests		FALSE	NONE		PROFESSIONAL	NEUTRAL		http://tun.fi/HR.137	Agaricales Fennoscandiae orientalis	http://tun.fi/KE.3	Kotka Collection Management System		2023-09-06/2023-09-06	FI	Uusimaa (U)	Sipoo	Finland, U, Sipoo				PRESERVED_SPECIMEN							1								createdDate: 2024-09-11 | modifiedDate: 2024-09-11 | Korkeus metreinä: 20 | Alt in meters: 20 | Elinympäristön kuvaus: Mixed forest, Picea abies, Betula, Sorbus aucuparia, Populus tremula. | Habitat description: Mixed forest, Picea abies, Betula, Sorbus aucuparia, Populus tremula.	REPORTED_VALUE		100	POLYGON ((25.418339 60.293018, 25.418296 60.293915, 25.420103 60.293936, 25.420147 60.293039, 25.418339 60.293018))	60.293477	25.419222	668:341			H6135479	2024-09-11	Creative Commons Attribution		boletus_edulis
http://id.luomus.fi/MY.10270975	http://id.luomus.fi/MY.10270974	http://id.luomus.fi/HA.H6200108	Boletus edulis Bull.:Fr.	Miettinen, Otto		http://tun.fi/MX.72563	Boletus edulis	Bull.:Fr.	species	Fungi	Agaricomycetes	Boletales	Boletaceae	Sienet ja jäkälät; Suursienet; Tatit / Fungi and lichens; Macrofungi; Boletoid fungi	herkkutatti	stensopp	LC 2019			Mk – kangasmetsät / Mk – heath forests		FALSE	NONE		PROFESSIONAL	NEUTRAL		http://tun.fi/HR.137	Agaricales Fennoscandiae orientalis	http://tun.fi/KE.3	Kotka Collection Management System		2020-07-29/2020-07-29	FI	Uusimaa (U)	Helsinki	Finland, U, Helsinki, Paloheinä				PRESERVED_SPECIMEN							1								createdDate: 2021-03-29 | modifiedDate: 2021-03-29 | Elinympäristön kuvaus: Rather old herb-rich urban Picea-dominated forest fragment | Habitat description: Rather old herb-rich urban Picea-dominated forest fragment	REPORTED_VALUE		100	POINT (24.9272 60.2512)	60.2512	24.9272	668:338		Larval sample taken.	H6200108	2021-03-29	Creative Commons Attribution		boletus_edulis
